"Titles","Year","Cited by","Link"
"Waveform design for integrated radar and communication system with orthogonal frequency modulation","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053004313&doi=10.1016%2fj.dsp.2018.08.014&partnerID=40&md5=bf15e96f78985a1f5d11dc184003e8ee"
"Melatonin suppresses TLR9-triggered proinflammatory cytokine production in macrophages by inhibiting ERK1/2 and AKT activation","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055214358&doi=10.1038%2fs41598-018-34011-8&partnerID=40&md5=3cc5df9ea14afaa0b7fb0e5a88c4328b"
"High refractive index dispersion of compositionally optimized Ge-Ga-Sb-S sulfide glass for use as molded lens in the long-wavelength infrared range","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054078877&doi=10.1016%2fj.ceramint.2018.08.309&partnerID=40&md5=d228b5a5c752becae289b4b81e54d0de"
"Estimation of Direction of Arrival by Time Reversal for Low-Angle Targets","2018","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045752444&doi=10.1109%2fTAES.2018.2828200&partnerID=40&md5=6c9cb981c335b5dd845e71b5563cc3db"
"Portable Spectroscopy","2018","221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058789883&doi=10.1177%2f0003702818809719&partnerID=40&md5=62a788d1d869380d8383a57ee934600c"
"Sorbent Film-Coated Passive Samplers for Explosives Vapour Detection Part B: Deployment in Semi-Operational Environments and Alternative Applications","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045264350&doi=10.1038%2fs41598-018-24245-x&partnerID=40&md5=5ea59f9a6459fb8e187ec6c241b73658"
"Selection and Characterization of Anti-Dengue NS1 Single Domain Antibodies","2018","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059150511&doi=10.1038%2fs41598-018-35923-1&partnerID=40&md5=1539f6f97c02ac3326aba1600cbcc934"
"DNA damage response induced by Etoposide promotes steroidogenesis via GADD45A in cultured adrenal cells","2018","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049208891&doi=10.1038%2fs41598-018-27938-5&partnerID=40&md5=5fe46049b3c89a22c4ca5c0b4e5924b5"
"Modeling digital radio system secure connection with changing the operating frequency","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058026411&doi=10.1109%2fIDAACS-SWS.2018.8525773&partnerID=40&md5=f9ace153d5a626908d1644efd8678b2a"
"Crashworthiness optimization of filament wound composite solid spherical structure element; [纤维缠绕复合材料实芯球形结构单元耐撞性多目标优化]","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059519970&doi=10.11887%2fj.cn.201805021&partnerID=40&md5=1aa63b730b8835f48f49db23d28bff4c"
"Remote physiological monitoring in an austere environment: A future for battlefield care provision?","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047912300&doi=10.1136%2fjramc-2017-000905&partnerID=40&md5=58505265be94436f986f619c1b1c24fe"
"Within- and between-session prefrontal cortex response to virtual reality exposure therapy for acrophobia","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056830025&doi=10.3389%2ffnhum.2018.00362&partnerID=40&md5=735e04335381144fb6a8fa2d058dcaf1"
"Marine diesel engine failure simulator based on thermodynamic model","2018","54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052928792&doi=10.1016%2fj.applthermaleng.2018.08.096&partnerID=40&md5=8e85f2226380d63883a26a88e70c3358"
"Analysis of modern military jet trainer aircraft","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063754760&doi=10.13111%2f2066-8201.2018.10.4.17&partnerID=40&md5=428e828a8dc688fa7e75c131f5622430"
"Adaptive topologies against jamming attacks in wireless networks: A game-theoretic approach","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051129209&doi=10.1016%2fj.jnca.2018.06.008&partnerID=40&md5=afdb09cda4b0ec194f888eecb50370f6"
"Two-agent cooperative search model with Petri nets","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055348588&doi=10.1108%2fIJIUS-01-2018-0001&partnerID=40&md5=42f785f120f6683fcff731e53bb130c5"
